 Online-W.2 CUNI-DocTransformer.6 Lan-Bridge.1 Online-B.0 JDExploreAcademy.8 Online-A.10 CUNI-Transformer.7 Online-G.9 SHOPLINE-PL.5 Online-Y.4 HUMAN-C ALMAnaCH-Inria.3
Online-W.2 - 0.08* 0.08*** 0.1*** 0.14*** 0.15*** 0.15*** 0.16*** 0.22*** 0.28*** 0.42*** 0.43***  
CUNI-DocTransformer.6 -0.08 - 0.01 0.02* 0.06 0.07** 0.07** 0.08*** 0.14*** 0.2*** 0.35*** 0.36***  
Lan-Bridge.1 -0.08 -0.01 - 0.01 0.05 0.06 0.07 0.08* 0.14** 0.2*** 0.34*** 0.35***  
Online-B.0 -0.1 -0.02 -0.01 - 0.04 0.05 0.05 0.07 0.12** 0.18*** 0.33*** 0.34***  
JDExploreAcademy.8 -0.14 -0.06 -0.05 -0.04 - 0.01 0.01 0.02 0.08** 0.14*** 0.29*** 0.3***  
Online-A.10 -0.15 -0.07 -0.06 -0.05 -0.01 - 0 0.01 0.07 0.13*** 0.28*** 0.29***  
CUNI-Transformer.7 -0.15 -0.07 -0.07 -0.05 -0.01 0 - 0.01 0.07* 0.13*** 0.27*** 0.29***  
Online-G.9 -0.16 -0.08 -0.08 -0.07 -0.02 -0.01 -0.01 - 0.06 0.12*** 0.26*** 0.27***  
SHOPLINE-PL.5 -0.22 -0.14 -0.14 -0.12 -0.08 -0.07 -0.07 -0.06 - 0.06** 0.2*** 0.21***  
Online-Y.4 -0.28 -0.2 -0.2 -0.18 -0.14 -0.13 -0.13 -0.12 -0.06 - 0.14*** 0.16***  
HUMAN-C -0.42 -0.35 -0.34 -0.33 -0.29 -0.28 -0.27 -0.26 -0.2 -0.14 - 0.01  
ALMAnaCH-Inria.3 -0.43 -0.36 -0.35 -0.34 -0.3 -0.29 -0.29 -0.27 -0.21 -0.16 -0.01 -  
