 Lan-Bridge.1 Online-W.2 JDExploreAcademy.6 Online-G.7 Online-A.8 HUMAN-B Online-Y.3 Online-B.0 LT22.4 PROMT.5
Lan-Bridge.1 - 0.03* 0.04** 0.06** 0.07*** 0.09*** 0.09*** 0.1*** 0.13*** 0.13***  
Online-W.2 -0.03 - 0.02 0.03 0.05 0.06 0.07** 0.07* 0.1*** 0.1***  
JDExploreAcademy.6 -0.04 -0.02 - 0.02 0.03 0.05 0.05** 0.05* 0.09*** 0.09**  
Online-G.7 -0.06 -0.03 -0.02 - 0.01 0.03 0.03* 0.03 0.07** 0.07*  
Online-A.8 -0.07 -0.05 -0.03 -0.01 - 0.02 0.02 0.02 0.06** 0.06  
HUMAN-B -0.09 -0.06 -0.05 -0.03 -0.02 - 0 0.01 0.04** 0.04*  
Online-Y.3 -0.09 -0.07 -0.05 -0.03 -0.02 0 - 0 0.04 0.04  
Online-B.0 -0.1 -0.07 -0.05 -0.03 -0.02 -0.01 0 - 0.03* 0.04  
LT22.4 -0.13 -0.1 -0.09 -0.07 -0.06 -0.04 -0.04 -0.03 - 0  
PROMT.5 -0.13 -0.1 -0.09 -0.07 -0.06 -0.04 -0.04 -0.04 0 -  
