 DLUT.6 NT5.4 JDExploreAcademy.8 LanguageX.12 Online-B.7 Online-W.1 Lan-Bridge.9 Online-G.10 Online-A.13 AISP-SJTU.0 NAIST-NICT-TIT.5 Online-Y.3 KYB.2 AIST.11
DLUT.6 - 0 0.01 0.02 0.02 0.02 0.05* 0.06** 0.06** 0.09*** 0.09*** 0.1*** 0.13*** 1.35***  
NT5.4 0 - 0.01 0.01 0.02 0.02 0.05* 0.06* 0.06* 0.09*** 0.09** 0.1** 0.12*** 1.35***  
JDExploreAcademy.8 -0.01 -0.01 - 0 0.01 0.01 0.04 0.05 0.05 0.08** 0.08* 0.09** 0.11*** 1.34***  
LanguageX.12 -0.02 -0.01 0 - 0.01 0.01 0.04 0.05 0.05 0.07** 0.07* 0.09** 0.11*** 1.34***  
Online-B.7 -0.02 -0.02 -0.01 -0.01 - 0 0.03 0.04* 0.04* 0.07** 0.07* 0.08** 0.1*** 1.33***  
Online-W.1 -0.02 -0.02 -0.01 -0.01 0 - 0.03 0.04 0.04 0.06** 0.07* 0.08** 0.1*** 1.33***  
Lan-Bridge.9 -0.05 -0.05 -0.04 -0.04 -0.03 -0.03 - 0.01 0.01 0.03 0.04 0.05 0.07** 1.3***  
Online-G.10 -0.06 -0.06 -0.05 -0.05 -0.04 -0.04 -0.01 - 0 0.02 0.03 0.04 0.06** 1.29***  
Online-A.13 -0.06 -0.06 -0.05 -0.05 -0.04 -0.04 -0.01 0 - 0.02 0.03 0.04 0.06** 1.29***  
AISP-SJTU.0 -0.09 -0.09 -0.08 -0.07 -0.07 -0.06 -0.03 -0.02 -0.02 - 0 0.02 0.04 1.27***  
NAIST-NICT-TIT.5 -0.09 -0.09 -0.08 -0.07 -0.07 -0.07 -0.04 -0.03 -0.03 0 - 0.01 0.04* 1.26***  
Online-Y.3 -0.1 -0.1 -0.09 -0.09 -0.08 -0.08 -0.05 -0.04 -0.04 -0.02 -0.01 - 0.02 1.25***  
KYB.2 -0.13 -0.12 -0.11 -0.11 -0.1 -0.1 -0.07 -0.06 -0.06 -0.04 -0.04 -0.02 - 1.23***  
AIST.11 -1.35 -1.35 -1.34 -1.34 -1.33 -1.33 -1.3 -1.29 -1.29 -1.27 -1.26 -1.25 -1.23 -  
