 JDExploreAcademy.6 HuaweiTSC.3 Online-G.7 Lan-Bridge.0 Online-Y.4 SRPOL.8 Online-B.5 Online-A.9 Online-W.1 ALMAnaCH-Inria.2
JDExploreAcademy.6 - 0.01 0.02 0.05* 0.05* 0.06* 0.07** 0.08** 0.09*** 0.29***  
HuaweiTSC.3 -0.01 - 0.01 0.03* 0.04* 0.04* 0.05** 0.06** 0.08*** 0.28***  
Online-G.7 -0.02 -0.01 - 0.02 0.03 0.04 0.04 0.05 0.07* 0.27***  
Lan-Bridge.0 -0.05 -0.03 -0.02 - 0 0.01 0.02 0.03 0.05* 0.25***  
Online-Y.4 -0.05 -0.04 -0.03 0 - 0.01 0.02 0.03 0.04 0.24***  
SRPOL.8 -0.06 -0.04 -0.04 -0.01 -0.01 - 0.01 0.02 0.04 0.23***  
Online-B.5 -0.07 -0.05 -0.04 -0.02 -0.02 -0.01 - 0.01 0.03 0.23***  
Online-A.9 -0.08 -0.06 -0.05 -0.03 -0.03 -0.02 -0.01 - 0.02 0.22***  
Online-W.1 -0.09 -0.08 -0.07 -0.05 -0.04 -0.04 -0.03 -0.02 - 0.2***  
ALMAnaCH-Inria.2 -0.29 -0.28 -0.27 -0.25 -0.24 -0.23 -0.23 -0.22 -0.2 -  
