 HUMAN-B.12 JDExploreAcademy.6 HuaweiTSC.2 AISP-SJTU.0 LanguageX.10 Online-A.11 DLUT.4 Online-B.5 Online-G.8 Online-W.1 Lan-Bridge.7 Online-Y.3 NiuTrans.9
HUMAN-B.12 - 0.16*** 0.17*** 0.2*** 0.21*** 0.22*** 0.22*** 0.22*** 0.23*** 0.24*** 0.25*** 0.26*** 0.3***  
JDExploreAcademy.6 -0.16 - 0.01 0.04 0.05 0.06* 0.06* 0.06 0.07** 0.08*** 0.09*** 0.1*** 0.14***  
HuaweiTSC.2 -0.17 -0.01 - 0.03 0.05 0.05 0.05* 0.06 0.06** 0.08*** 0.08*** 0.09*** 0.13***  
AISP-SJTU.0 -0.2 -0.04 -0.03 - 0.02 0.02 0.02 0.03 0.04 0.05* 0.05* 0.06** 0.1***  
LanguageX.10 -0.21 -0.05 -0.05 -0.02 - 0 0 0.01 0.02 0.03* 0.04* 0.04** 0.09***  
Online-A.11 -0.22 -0.06 -0.05 -0.02 0 - 0 0.01 0.02 0.03* 0.03* 0.04** 0.08***  
DLUT.4 -0.22 -0.06 -0.05 -0.02 0 0 - 0.01 0.02 0.03 0.03 0.04* 0.08***  
Online-B.5 -0.22 -0.06 -0.06 -0.03 -0.01 -0.01 -0.01 - 0.01 0.02* 0.03* 0.03** 0.08***  
Online-G.8 -0.23 -0.07 -0.06 -0.04 -0.02 -0.02 -0.02 -0.01 - 0.01 0.02 0.02* 0.07***  
Online-W.1 -0.24 -0.08 -0.08 -0.05 -0.03 -0.03 -0.03 -0.02 -0.01 - 0.01 0.01 0.06*  
Lan-Bridge.7 -0.25 -0.09 -0.08 -0.05 -0.04 -0.03 -0.03 -0.03 -0.02 -0.01 - 0 0.05*  
Online-Y.3 -0.26 -0.1 -0.09 -0.06 -0.04 -0.04 -0.04 -0.03 -0.02 -0.01 0 - 0.04  
NiuTrans.9 -0.3 -0.14 -0.13 -0.1 -0.09 -0.08 -0.08 -0.08 -0.07 -0.06 -0.05 -0.04 -  
