HITId WorkerId  src trg item  hit work-seconds  accept  submit  approval
3VMHWJRYHVG3UXGLUWZA5UQLZ9NXF5 M0867 ja en ad 1 3150.0 "Tue Oct 04 11:05:22 2022" "Tue Oct 04 11:57:52 2022" Submitted
3DQYSJDTYLBBOJGPZLF4NC5LN88XEN M1231 ja en ad 2 5425.0 "Tue Oct 04 11:05:30 2022" "Tue Oct 04 12:35:55 2022" Submitted
36QZ6V1589DKHYRCVBOMSMAWUH0UST M1029 ja en ad 8 1407.0 "Tue Oct 04 11:05:22 2022" "Tue Oct 04 11:28:49 2022" Submitted
34D9ZRXCYRU02PDEP67VSLY2NE8SAF M0842 ja en ad 13 4502.0 "Tue Oct 04 11:05:23 2022" "Tue Oct 04 12:20:25 2022" Submitted
3TRB893CSJAFTI6PN31UTGD9YV97GK M0471 ja en ad 16 1279.0 "Tue Oct 04 11:05:32 2022" "Tue Oct 04 11:26:51 2022" Submitted
3MQY1YVHS3KCG01815SLWE5472V2BI M1340 ja en ad 22 3190.0 "Tue Oct 04 11:29:54 2022" "Tue Oct 04 12:23:04 2022" Submitted
3TFJJUELSHPVQ5TEF5OG7YBMPNV2CP M1358 ja en ad 24 4467.0 "Tue Oct 04 11:05:22 2022" "Tue Oct 04 12:19:49 2022" Submitted
3JVP4ZJHDPSF7YC0SSGOZDG25UV0I5 M0422 ja en ad 25 1887.0 "Tue Oct 04 11:46:02 2022" "Tue Oct 04 12:17:29 2022" Submitted
3J9UN9O9J3SB29W6AA1OBEV2I9K0JH M1217 ja en ad 26 2234.0 "Tue Oct 04 11:05:22 2022" "Tue Oct 04 11:42:36 2022" Submitted
3O71U79SRBP14QM3M9X01CT2HVXMST M0885 ja en ad 27 4427.0 "Tue Oct 04 11:05:54 2022" "Tue Oct 04 12:19:41 2022" Submitted
32LAQ1JNT9PLWY4RKBTC2R6IW0EUTI M0694 ja en ad 28 1583.0 "Tue Oct 04 12:47:54 2022" "Tue Oct 04 13:14:17 2022" Submitted
3XH7ZM9YX2UAWR3WIBTQ6GIMVU89RU M1198 ja en ad 29 6876.0 "Tue Oct 04 13:08:56 2022" "Tue Oct 04 15:03:32 2022" Submitted
3G57RS03HH5ARKKZ0V18TS5CX6952K M0962 ja en ad 40 2407.0 "Tue Oct 04 17:42:20 2022" "Tue Oct 04 18:22:27 2022" Submitted
3R5LWXWHR0898XCG5G5SNFQX0ONXG4 M0478 ja en ad 41 2635.0 "Tue Oct 04 11:05:32 2022" "Tue Oct 04 11:49:27 2022" Submitted
3CVBMEMMXBGTTE1079JCEGPADVM7HJ M1026 ja en ad 43 1317.0 "Tue Oct 04 11:05:24 2022" "Tue Oct 04 11:27:21 2022" Submitted
3A9LA2FRWSEN8T7RPMNA8F2YFO0XH3 M0130 ja en ad 45 5087.0 "Tue Oct 04 13:06:26 2022" "Tue Oct 04 14:31:13 2022" Submitted
34KYK9TV2R85LZI6VK7RNWI85WTSBA M0991 ja en ad 47 1021.0 "Tue Oct 04 11:05:22 2022" "Tue Oct 04 11:22:23 2022" Submitted
