SYS SID RAW.SCR Z.SCR N 
CUNI-DocTransformer.6 1015 56 -0.34199741965751 4 
CUNI-DocTransformer.6 1016 55.75 -0.362107348572933 4 
CUNI-DocTransformer.6 1011 57 -0.24137857694621 2 
CUNI-DocTransformer.6 1012 61 0.0400220316013485 2 
CUNI-DocTransformer.6 1013 60.5 0.0199813008201085 2 
CUNI-DocTransformer.6 1014 59.5 -0.0402792877919775 2 
CUNI-DocTransformer.6 29 62 0.080103493163828 2 
CUNI-DocTransformer.6 30 57.5 -0.261696100264184 2 
CUNI-DocTransformer.6 31 60 -0.0605968111099515 2 
CUNI-DocTransformer.6 32 58 -0.241655369482944 2 
CUNI-DocTransformer.6 33 11.5 -3.96192302070207 2 
CUNI-DocTransformer.6 34 59.5 -0.100816668940798 2 
CUNI-DocTransformer.6 35 55 -0.44261626236881 2 
CUNI-DocTransformer.6 36 56 -0.301639165558297 2 
CUNI-DocTransformer.6 37 61 0.0400220316013485 2 
CUNI-DocTransformer.6 38 60.5 0.0199813008201085 2 
CUNI-DocTransformer.6 39 59.5 -0.100816668940798 2 
CUNI-DocTransformer.6 40 61 0.0198429045517415 2 
CUNI-DocTransformer.6 41 60 -0.020238557010738 2 
CUNI-DocTransformer.6 911 86 0.446358372958067 2 
CUNI-DocTransformer.6 912 57.75 -0.706480265147372 4 
CUNI-DocTransformer.6 913 65.5 -0.274508290138808 2 
CUNI-DocTransformer.6 914 96.25 1.00174451854278 4 
CUNI-DocTransformer.6 915 80.5 0.32301133635812 2 
CUNI-DocTransformer.6 916 76.5 0.180135451366446 2 
CUNI-DocTransformer.6 917 94.75 0.917298532781824 4 
CUNI-DocTransformer.6 918 95.5 0.972518379931385 2 
CUNI-DocTransformer.6 919 80.5 0.362001899165374 2 
CUNI-DocTransformer.6 920 78.75 0.235321731527911 4 
CUNI-DocTransformer.6 921 73.5 -0.00175337442454565 2 
CUNI-DocTransformer.6 922 79.5 0.232055734466591 2 
CUNI-DocTransformer.6 923 80.25 0.235288164539814 4 
CUNI-DocTransformer.6 1047 100 1.40001354644085 2 
CUNI-DocTransformer.6 1048 27.5 -1.11823507243004 2 
CUNI-DocTransformer.6 1049 28 -1.10086784057576 2 
CUNI-DocTransformer.6 1050 28 -1.10086784057576 1 
CUNI-DocTransformer.6 1051 17 -1.48294694136996 2 
CUNI-DocTransformer.6 1052 39.5 -0.701421507927272 2 
CUNI-DocTransformer.6 1053 23 -1.27454015911858 1 
CUNI-DocTransformer.6 1054 24 -1.23980569541001 1 
CUNI-DocTransformer.6 1055 32 -0.961929985741503 1 
CUNI-DocTransformer.6 1056 52 -0.267240711570224 1 
CUNI-DocTransformer.6 1057 52 -0.267240711570224 1 
CUNI-DocTransformer.6 1058 35.5 -0.840359362761528 2 
CUNI-DocTransformer.6 557 43 -0.435596749790118 2 
CUNI-DocTransformer.6 558 60 0.182252651479835 2 
CUNI-DocTransformer.6 559 47 -0.27235490417114 2 
CUNI-DocTransformer.6 560 45.5 -0.325732821557152 2 
CUNI-DocTransformer.6 561 49.5 -0.18502457826135 2 
CUNI-DocTransformer.6 562 17.5 -1.32587621314991 2 
CUNI-DocTransformer.6 563 32.5 -0.792586900209854 2 
CUNI-DocTransformer.6 564 64 0.320511590175293 2 
CUNI-DocTransformer.6 565 46.5 -0.289820969353098 2 
CUNI-DocTransformer.6 566 65.5 0.375848951241581 2 
CUNI-DocTransformer.6 567 87 1.13521738970695 2 
CUNI-DocTransformer.6 568 53 -0.0750086449893705 2 
CUNI-DocTransformer.6 569 53 -0.052475042666196 2 
CUNI-DocTransformer.6 570 89.5 1.22352743745687 2 
CUNI-DocTransformer.6 571 86 1.10126498118317 2 
CUNI-DocTransformer.6 572 44 -0.376661434342822 2 
CUNI-DocTransformer.6 573 29 -0.914359495563492 2 
CUNI-DocTransformer.6 574 65 0.366710521700797 2 
CUNI-DocTransformer.6 575 45 -0.344668469499317 2 
CUNI-DocTransformer.6 576 51 -0.132136521795408 2 
CUNI-DocTransformer.6 577 32 -0.810542826311881 2 
CUNI-DocTransformer.6 578 42 -0.459262078992446 2 
CUNI-DocTransformer.6 579 80 0.89265192083981 2 
CUNI-DocTransformer.6 580 36 -0.667875139335804 2 
CUNI-DocTransformer.6 581 9 -1.62230946032312 2 
CUNI-DocTransformer.6 582 31 -0.843515512995524 2 
CUNI-DocTransformer.6 583 93.5 1.36472554167274 2 
CUNI-DocTransformer.6 584 72 0.59947877216655 2 
CUNI-DocTransformer.6 585 19.5 -1.25650181334215 2 
CUNI-DocTransformer.6 1242 93 0.56259142110593 1 
CUNI-DocTransformer.6 1243 86 0.125020315801318 1 
