SYS SID RAW.SCR Z.SCR N 
Online-Y.3 1760 48 -0.610775103233249 2 
Online-Y.3 1761 52 -0.317602936412423 1 
Online-Y.3 1762 50 -0.464189019822836 2 
Online-Y.3 1763 60.5 0.305387918081834 2 
Online-Y.3 1764 52 -0.317602936412423 1 
Online-Y.3 1765 44 -0.903947270054075 1 
Online-Y.3 1766 54 -0.171016853002009 1 
Online-Y.3 1767 44 -0.903947270054075 1 
Online-Y.3 348 54 -0.17101685300201 2 
Online-Y.3 352 70 1.0016718142813 2 
Online-Y.3 354 63.5 0.525267043197454 2 
Online-Y.3 357 26.5 -2.18657549989519 2 
Online-Y.3 359 54 -0.171016853002009 2 
Online-Y.3 349 53 -0.244309894707216 1 
Online-Y.3 350 59 0.195448355524024 1 
Online-Y.3 351 70 1.0016718142813 1 
Online-Y.3 353 62 0.415327480639643 1 
Online-Y.3 355 63 0.48862052234485 1 
Online-Y.3 356 48 -0.610775103233249 1 
Online-Y.3 358 51 -0.390895978117629 1 
Online-Y.3 801 80 0.0644519306518878 2 
Online-Y.3 799 100 1.44171822233485 1 
Online-Y.3 800 80 0.0644519306518878 1 
Online-Y.3 1257 40 -0.373143596355635 1 
Online-Y.3 1258 29 -0.843240919322325 1 
Online-Y.3 1259 23 -1.09965764094052 1 
Online-Y.3 1260 29 -0.843240919322325 1 
Online-Y.3 1261 43 -0.244935235546537 1 
Online-Y.3 1092 75.5 -0.25705541959385 2 
Online-Y.3 1093 75.5 -0.25705541959385 2 
Online-Y.3 1096 79.5 0.0565013647559043 2 
Online-Y.3 1098 77.5 -0.100277027418973 2 
Online-Y.3 1099 64.5 -1.11933657655567 2 
Online-Y.3 1100 87.5 0.683614933455411 2 
Online-Y.3 1104 61 -1.39369876286171 2 
Online-Y.3 1107 83.5 0.370058149105658 2 
Online-Y.3 1089 78 -0.0610824293752534 1 
Online-Y.3 1090 0 -6.17543972419545 1 
Online-Y.3 1091 77 -0.139471625462692 1 
Online-Y.3 1094 77 -0.139471625462692 1 
Online-Y.3 1095 86 0.566031139324254 1 
Online-Y.3 1097 73 -0.453028409812446 1 
Online-Y.3 1101 83 0.330863551061939 1 
Online-Y.3 1102 78 -0.0610824293752534 1 
Online-Y.3 1103 76 -0.21786082155013 1 
Online-Y.3 1105 77 -0.139471625462692 1 
Online-Y.3 1106 78 -0.0610824293752534 1 
Online-Y.3 1108 80 0.0956959627996235 1 
Online-Y.3 1109 84 0.409252747149377 1 
Online-Y.3 1110 75 -0.296250017637569 1 
Online-Y.3 1111 79 0.017306766712185 1 
Online-Y.3 1032 50 -1.67440620732304 1 
Online-Y.3 1540 94 0.322766059862683 1 
Online-Y.3 1541 93 0.286817246658827 1 
Online-Y.3 1542 93 0.286817246658827 1 
Online-Y.3 1543 100 0.538458939085814 1 
Online-Y.3 1544 100 0.538458939085814 1 
Online-Y.3 1545 100 0.538458939085814 1 
Online-Y.3 1036 85 -0.000773258972015156 1 
Online-Y.3 1037 75 -0.360261391010568 1 
Online-Y.3 654 100 0.538458939085814 1 
Online-Y.3 655 0 -3.05642238129972 1 
Online-Y.3 680 21 -4.24084917947711 1 
Online-Y.3 681 79 -0.579068885032094 1 
Online-Y.3 682 95 0.431077403090669 1 
Online-Y.3 1503 92 1.27443800087241 1 
Online-Y.3 1504 90 1.05617213842814 1 
Online-Y.3 1505 72 -0.90822062357029 1 
Online-Y.3 1506 71 -1.01735355479242 2 
Online-Y.3 1507 79 -0.144290105015345 1 
Online-Y.3 1508 84 0.40137455109533 1 
Online-Y.3 1509 81 0.0739757574289249 1 
Online-Y.3 1510 71.5 -0.962787089181355 2 
Online-Y.3 1511 71.5 -0.962787089181355 2 
Online-Y.3 1512 88 0.837906275983869 1 
Online-Y.3 1513 88 0.837906275983869 1 
Online-Y.3 1514 79.5 -0.0897236394042776 2 
Online-Y.3 1515 71 -1.01735355479242 1 
Online-Y.3 1516 72 -0.90822062357029 1 
Online-Y.3 1517 76 -0.47168889868175 1 
Online-Y.3 1518 72 -0.90822062357029 1 
Online-Y.3 1519 71 -1.01735355479242 1 
Online-Y.3 1520 76 -0.47168889868175 1 
Online-Y.3 1521 85 0.510507482317465 1 
Online-Y.3 1522 81 0.0739757574289249 1 
Online-Y.3 1523 82 0.18310868865106 1 
Online-Y.3 1524 99 2.03836851942735 2 
Online-Y.3 1525 78.5 -0.198856570626413 2 
Online-Y.3 1526 75.5 -0.526255364292817 2 
Online-Y.3 620 78 -0.274378922802101 1 
Online-Y.3 621 84 0.227873680122013 1 
Online-Y.3 622 78.5 -0.232524539225092 2 
Online-Y.3 623 79 -0.190670155648082 1 
Online-Y.3 626 86 0.395291214430052 1 
Online-Y.3 627 81 -0.023252621340044 1 
Online-Y.3 628 99 1.4835051874323 1 
Online-Y.3 629 95 1.14867011881622 1 
Online-Y.3 630 86 0.395291214430052 1 
Online-Y.3 1123 91 -0.181663998628074 1 
Online-Y.3 1124 94 0.363327997256147 1 
Online-Y.3 1125 86 -1.08998399176844 1 
Online-Y.3 1126 89 -0.54499199588422 1 
Online-Y.3 1127 92.5 0.090831999314037 2 
Online-Y.3 1128 91 -0.181663998628074 1 
Online-Y.3 1129 87 -0.908319993140367 1 
Online-Y.3 1130 91 -0.181663998628074 1 
Online-Y.3 1131 93 0.181663998628074 1 
Online-Y.3 1132 90 -0.363327997256147 1 
Online-Y.3 1133 88.5 -0.635823995198258 2 
Online-Y.3 1134 93 0.181663998628073 2 
Online-Y.3 1135 96.5 0.817487993826331 2 
Online-Y.3 1136 95 0.54499199588422 1 
Online-Y.3 1137 90 -0.363327997256147 1 
Online-Y.3 1138 89 -0.54499199588422 1 
Online-Y.3 911 84.5 0.38681015755434 2 
Online-Y.3 912 73 -0.631211481159519 2 
Online-Y.3 883 76 -0.365640618886338 1 
Online-Y.3 884 77 -0.277116998128611 1 
