SYS SID RAW.SCR Z.SCR N 
DLUT.6 1053 28 -0.325387777662625 2 
DLUT.6 1056 27.5 -0.347820176507088 2 
DLUT.6 1052 27 -0.370252575351549 1 
DLUT.6 1054 25 -0.459982170729399 1 
DLUT.6 1055 25 -0.459982170729399 1 
DLUT.6 548 97.5 1.61919188072434 2 
DLUT.6 550 93.5 1.36530583747485 2 
DLUT.6 549 62 -0.634046753114864 1 
DLUT.6 551 62 -0.634046753114864 1 
DLUT.6 552 72 0.000668355008854454 1 
DLUT.6 435 98 1.23325884145719 1 
DLUT.6 436 92 1.05313340210122 1 
DLUT.6 437 75 0.542777990592649 1 
DLUT.6 972 2 -1.64874818823829 1 
DLUT.6 973 100 1.29330065457585 1 
DLUT.6 974 60 0.0924643922027299 1 
DLUT.6 975 97 1.20323793489786 1 
DLUT.6 376 2 -1.64874818823829 1 
DLUT.6 377 65 0.24256892499937 1 
DLUT.6 378 65 0.24256892499937 1 
DLUT.6 379 92 1.05313340210122 1 
DLUT.6 42 23 -2.16279163184662 1 
DLUT.6 43 22 -2.20217340108048 1 
DLUT.6 44 98 0.79084106069282 1 
DLUT.6 45 23 -2.16279163184662 1 
DLUT.6 6 93.5 0.918844947237911 2 
DLUT.6 7 79 0.281117052975836 2 
DLUT.6 9 84 0.501023223411035 2 
DLUT.6 8 94 0.940835564281432 1 
DLUT.6 10 88 0.676948159759194 1 
DLUT.6 592 76.5 -0.361633714506119 2 
DLUT.6 593 78.5 -0.220606599927935 2 
DLUT.6 594 78 -0.255863378572481 1 
DLUT.6 595 93.5 0.837096759408448 2 
DLUT.6 1248 44 -0.273507492611953 2 
DLUT.6 1249 52 -0.070469434143083 1 
DLUT.6 1250 73 0.4625054693377 1 
DLUT.6 1251 71 0.411745954720483 1 
DLUT.6 1252 67 0.310226925486048 1 
DLUT.6 311 100 1.21438142195009 2 
DLUT.6 313 72 0.0488826821455997 2 
DLUT.6 315 84.5 0.569194619558317 2 
DLUT.6 309 90 0.798131872019913 1 
DLUT.6 310 81 0.423507277082756 1 
DLUT.6 312 79 0.340257367096722 1 
DLUT.6 314 85 0.590007097054826 1 
DLUT.6 32 62 0.490059173231981 1 
DLUT.6 33 48 -0.0187390381242499 1 
DLUT.6 34 98 1.79839743100515 1 
DLUT.6 35 63 0.526401902614569 1 
DLUT.6 766 61 0.453716443849393 1 
DLUT.6 767 59 0.381030985084217 1 
DLUT.6 768 55 0.235660067553865 1 
DLUT.6 769 66 0.635430090762332 1 
DLUT.6 1085 59 0.381030985084217 1 
DLUT.6 1086 63 0.526401902614569 1 
DLUT.6 1087 58 0.344688255701629 1 
DLUT.6 1088 71 0.817143737675272 1 
DLUT.6 1089 67 0.67177282014492 1 
DLUT.6 55 64 0.562744631997157 1 
DLUT.6 56 69 0.744458278910096 1 
DLUT.6 57 58 0.344688255701629 1 
DLUT.6 58 63 0.526401902614569 1 
DLUT.6 59 58 0.344688255701629 1 
DLUT.6 60 54 0.199317338171278 1 
DLUT.6 501 79 1.10788557273598 1 
DLUT.6 502 88 1.43497013717927 1 
DLUT.6 1109 98 1.15440776720936 2 
DLUT.6 1110 83 0.09670440787298 1 
DLUT.6 1111 86.5 0.343501858384803 2 
DLUT.6 1112 76.5 -0.361633714506119 2 
DLUT.6 1113 87 0.378758637029348 2 
DLUT.6 1114 78 -0.255863378572481 1 
DLUT.6 821 82 0.0261908505838878 1 
DLUT.6 822 79 -0.185349821283389 1 
DLUT.6 823 88 0.449272194318441 1 
DLUT.6 1309 90 1.05442360724232 1 
DLUT.6 1310 91 1.0784471291531 1 
DLUT.6 1311 91 1.0784471291531 1 
DLUT.6 1312 11 -0.843434623708766 1 
DLUT.6 1313 85 0.934305997688457 1 
DLUT.6 1314 90 1.05442360724232 1 
DLUT.6 463 73 -0.422774066640706 1 
DLUT.6 464 75 -0.289639104401109 1 
DLUT.6 465 77 -0.156504142161513 1 
DLUT.6 466 91 0.775440593515661 1 
DLUT.6 985 45 -1.35279340477071 2 
DLUT.6 986 45 -1.35279340477071 2 
DLUT.6 984 34 -1.883794709103 1 
DLUT.6 987 73 -0.00115372101577642 1 
DLUT.6 988 71 -0.0976994127125573 1 
DLUT.6 989 56 -0.821792100438414 1 
DLUT.6 1474 41 -0.610535316514054 1 
DLUT.6 1475 38 -0.749120216857652 1 
DLUT.6 1476 61 0.313364019109934 1 
DLUT.6 1477 50 -0.194780615483259 1 
DLUT.6 1478 37 -0.795315183638852 1 
DLUT.6 281 77.5 1.07558097099972 2 
DLUT.6 282 99 2.06877275679551 1 
DLUT.6 1538 35 -0.88770511720125 1 
DLUT.6 1539 22 -1.48823968535684 1 
DLUT.6 1540 39 -0.702925250076454 2 
DLUT.6 1541 41 -0.610535316514056 2 
DLUT.6 1542 43 -0.518145382951655 1 
DLUT.6 1543 37 -0.795315183638851 2 
DLUT.6 1544 35 -0.88770511720125 1 
DLUT.6 1545 21 -1.53443465213804 1 
DLUT.6 1546 25 -1.34965478501324 1 
DLUT.6 1547 54 -0.0100007483584619 1 
DLUT.6 1548 76 1.00628852082792 1 
DLUT.6 1549 38 -0.749120216857652 1 
DLUT.6 1398 6.5 -1.71472625568023 2 
DLUT.6 1399 43.5 -0.488896634070642 2 
DLUT.6 1400 4 -1.79755258146466 2 
DLUT.6 1401 45 -0.439200838599983 2 
DLUT.6 1402 5 -1.76442205115089 2 
DLUT.6 1403 56.5 -0.058199739991598 2 
DLUT.6 1404 4.5 -1.78098731630777 2 
DLUT.6 1396 60 0.057757116106606 1 
DLUT.6 1397 43 -0.505461899227529 1 
DLUT.6 1405 56 -0.0747650051484845 1 
DLUT.6 1406 3 -1.83068311177843 1 
DLUT.6 1407 13 -1.49937780864071 1 
DLUT.6 1408 6 -1.73129152083712 1 
DLUT.6 1409 47 -0.372939777972438 1 
DLUT.6 1410 8 -1.66503046020957 1 
DLUT.6 1411 31 -0.9030282629928 1 
DLUT.6 1412 6 -1.73129152083712 1 
DLUT.6 1413 56 -0.0747650051484845 1 
DLUT.6 627 78 0.639912091169849 2 
DLUT.6 626 96 1.17783667055765 1 
DLUT.6 628 82 0.759450886589361 1 
DLUT.6 629 74 0.520373295750336 1 
DLUT.6 630 63 0.191641608346677 1 
DLUT.6 1414 49 0.086556918118948 2 
DLUT.6 1415 61 0.549192990545189 4 
DLUT.6 1416 53.5 0.255209126377963 2 
DLUT.6 1417 51 0.162393555150401 4 
DLUT.6 1418 6.25 -1.47237875899257 4 
DLUT.6 1419 33 -0.498201377448619 2 
DLUT.6 1420 45 -0.0532350055734267 4 
DLUT.6 1421 45.5 -0.040825821519831 2 
