SYS SID RAW.SCR Z.SCR N 
ALMAnaCH-Inria.2 1726 54 -0.930262451465422 1 
ALMAnaCH-Inria.2 1727 53 -0.987930150576129 1 
ALMAnaCH-Inria.2 1728 43 -1.56460714168319 1 
ALMAnaCH-Inria.2 1729 45 -1.44927174346178 1 
ALMAnaCH-Inria.2 1730 59 -0.64192395591189 1 
ALMAnaCH-Inria.2 1731 55 -0.872594752354716 1 
ALMAnaCH-Inria.2 1154 68.5 -0.0940808143601795 2 
ALMAnaCH-Inria.2 1155 52.5 -1.01676400013148 2 
ALMAnaCH-Inria.2 1151 60 -0.584256256801184 1 
ALMAnaCH-Inria.2 1152 58 -0.699591655022597 1 
ALMAnaCH-Inria.2 1153 77 0.396094628080825 1 
ALMAnaCH-Inria.2 1156 70 -0.00757926569411983 1 
ALMAnaCH-Inria.2 1157 77 0.396094628080825 1 
ALMAnaCH-Inria.2 1652 56 1.29245999256706 1 
ALMAnaCH-Inria.2 1653 35.5 -0.12630465790816 2 
ALMAnaCH-Inria.2 1654 42 0.323547548340082 2 
ALMAnaCH-Inria.2 1945 63 -0.451637570076895 1 
ALMAnaCH-Inria.2 1946 62 -0.513604537964992 1 
ALMAnaCH-Inria.2 1947 81 0.663767851908862 1 
ALMAnaCH-Inria.2 1948 63 -0.451637570076895 1 
ALMAnaCH-Inria.2 1949 64 -0.389670602188797 1 
ALMAnaCH-Inria.2 1698 2 -1.94925972633565 1 
ALMAnaCH-Inria.2 1699 33 -1.06176156932577 2 
ALMAnaCH-Inria.2 1700 96 0.741863717500748 1 
ALMAnaCH-Inria.2 1511 99 0.199066268267273 1 
ALMAnaCH-Inria.2 1512 97 0.0642897479544293 1 
ALMAnaCH-Inria.2 1513 99 0.199066268267273 1 
ALMAnaCH-Inria.2 1514 98 0.131678008110851 1 
ALMAnaCH-Inria.2 1515 98 0.131678008110851 1 
ALMAnaCH-Inria.2 1516 99 0.199066268267273 1 
ALMAnaCH-Inria.2 145 90 0.405003044663627 2 
ALMAnaCH-Inria.2 146 85 -0.160604168050047 2 
ALMAnaCH-Inria.2 147 82 -0.499968495678251 2 
ALMAnaCH-Inria.2 148 94 0.857488814834566 1 
ALMAnaCH-Inria.2 149 81 -0.613089938220985 2 
ALMAnaCH-Inria.2 150 74.5 -1.34837931474876 2 
ALMAnaCH-Inria.2 151 84 -0.273725610592782 1 
ALMAnaCH-Inria.2 152 58 -3.21488311670388 1 
ALMAnaCH-Inria.2 153 69 -1.97054724873381 2 
