SYS SID RAW.SCR Z.SCR N 
Online-Y.3 906 82 0.32260013817776 1 
Online-Y.3 907 75.5 0.110970675970549 2 
Online-Y.3 908 89 0.550508789785525 1 
Online-Y.3 1938 67 -0.16577554383888 1 
Online-Y.3 1624 88 0.971730445091139 1 
Online-Y.3 1625 81 0.178008108440614 1 
Online-Y.3 1626 71 -0.95588094391728 1 
Online-Y.3 1627 81 0.178008108440614 1 
Online-Y.3 1628 70 -1.06926984915307 1 
Online-Y.3 1629 88 0.971730445091139 1 
Online-Y.3 1630 72 -0.842492038681491 1 
Online-Y.3 1631 78 -0.162158607266755 1 
Online-Y.3 1632 72 -0.842492038681491 1 
Online-Y.3 1633 84 0.518174824147982 1 
Online-Y.3 1634 80 0.0646192032048241 1 
Online-Y.3 1635 72 -0.842492038681491 1 
Online-Y.3 1636 81 0.178008108440614 1 
Online-Y.3 1637 81 0.178008108440614 1 
Online-Y.3 1638 98 2.10561949744903 1 
Online-Y.3 1639 81 0.178008108440614 1 
Online-Y.3 1640 72 -0.842492038681491 1 
Online-Y.3 1641 78 -0.162158607266755 1 
Online-Y.3 1642 83 0.404785918912192 1 
Online-Y.3 1643 81 0.178008108440614 1 
Online-Y.3 1644 70 -1.06926984915307 1 
Online-Y.3 1645 85 0.631563729383771 1 
Online-Y.3 1646 73 -0.729103133445702 1 
Online-Y.3 1647 84 0.518174824147982 1 
Online-Y.3 1648 79 -0.0487697020309653 1 
Online-Y.3 1649 95 1.76545278174166 1 
Online-Y.3 1650 70 -1.06926984915307 1 
Online-Y.3 1651 79 -0.0487697020309653 1 
Online-Y.3 1552 71 -0.95588094391728 1 
Online-Y.3 1694 72 -0.842492038681491 1 
Online-Y.3 1695 70 -1.06926984915307 1 
Online-Y.3 1696 73 -0.729103133445702 1 
Online-Y.3 444 76 -0.715429860103417 1 
Online-Y.3 1916 62 -0.451798199521556 1 
Online-Y.3 1192 77 0.524882570415428 1 
Online-Y.3 1803 72 -1.12169557433428 2 
Online-Y.3 1446 72 -1.12169557433429 1 
Online-Y.3 672 76.5 -0.664646645824558 2 
Online-Y.3 1081 75 -0.816996288661134 1 
Online-Y.3 1507 78 -0.512297002987983 1 
Online-Y.3 198 74 -0.918562717218851 1 
Online-Y.3 1375 70 -0.309125469036729 1 
Online-Y.3 1985 88 0.676878748870203 1 
Online-Y.3 616 83 0.4029886883405 1 
Online-Y.3 617 89 0.731656760976144 1 
Online-Y.3 1308 98.5 0.953740449583998 2 
Online-Y.3 144 75 -0.101368094146213 1 
Online-Y.3 846 79 0.0782248494674398 1 
Online-Y.3 847 83 0.257817793081092 1 
Online-Y.3 848 79 0.0782248494674398 1 
Online-Y.3 849 73 -0.191164565953039 1 
Online-Y.3 850 84 0.302716028984505 1 
Online-Y.3 637 82 0.212919557177679 1 
Online-Y.3 1932 80 0.123123085370853 1 
Online-Y.3 1933 80 0.123123085370853 1 
Online-Y.3 1934 77 -0.0115716223393864 1 
Online-Y.3 434 100 0.635176249507025 1 
Online-Y.3 1169 92 0.340862970680511 1 
