SYS SID RAW.SCR Z.SCR N 
JDExploreAcademy.6 618 93.5 0.473092529952429 2 
JDExploreAcademy.6 619 90 -0.0664658892708966 2 
JDExploreAcademy.6 580 56 -0.593119828557625 2 
JDExploreAcademy.6 596 24 -0.867243009323199 1 
JDExploreAcademy.6 597 35 -0.393678254939711 1 
JDExploreAcademy.6 89 27 -0.738088985400429 1 
JDExploreAcademy.6 90 48 0.165989182058956 1 
JDExploreAcademy.6 91 32 -0.52283227886248 1 
JDExploreAcademy.6 92 31 -0.56588362017007 1 
JDExploreAcademy.6 93 27 -0.738088985400429 2 
JDExploreAcademy.6 94 50 0.252091864674136 1 
JDExploreAcademy.6 95 48.5 0.187514852712751 2 
JDExploreAcademy.6 96 27 -0.738088985400429 2 
JDExploreAcademy.6 97 37.5 -0.286049901670737 2 
JDExploreAcademy.6 98 48.5 0.187514852712751 2 
JDExploreAcademy.6 99 27 -0.738088985400429 1 
JDExploreAcademy.6 100 52 0.338194547289315 1 
JDExploreAcademy.6 101 52 0.338194547289315 1 
JDExploreAcademy.6 102 30 -0.60893496147766 1 
JDExploreAcademy.6 103 38 -0.264524231016942 2 
JDExploreAcademy.6 622 46 0.0798864994437766 1 
JDExploreAcademy.6 623 26 -0.781140326708019 1 
JDExploreAcademy.6 675 100 2.40465893005362 1 
JDExploreAcademy.6 676 49 0.209040523366546 1 
JDExploreAcademy.6 1053 57 -0.0137325492274115 2 
JDExploreAcademy.6 1054 53 -0.24887147518334 2 
JDExploreAcademy.6 1055 69 0.416792077319383 2 
JDExploreAcademy.6 1056 66 0.309160920682684 2 
JDExploreAcademy.6 1057 61 0.12977565962152 2 
JDExploreAcademy.6 1058 59.5 0.0759600813031705 2 
JDExploreAcademy.6 1059 99 1.49310364368637 2 
JDExploreAcademy.6 1060 64 0.237406816258219 2 
JDExploreAcademy.6 1061 60 0.093898607409287 2 
JDExploreAcademy.6 1062 62 0.165652711833753 2 
JDExploreAcademy.6 1063 58 0.0221445029848215 2 
JDExploreAcademy.6 1064 97.5 1.43928806536802 2 
JDExploreAcademy.6 1065 44.5 -0.840172409946682 2 
JDExploreAcademy.6 1066 58 -0.0122170159303025 2 
JDExploreAcademy.6 1067 54 -0.235902102247856 2 
JDExploreAcademy.6 1068 59 0.0580215551970545 2 
JDExploreAcademy.6 1069 64 0.237406816258219 2 
JDExploreAcademy.6 1070 70.5 0.470607655637732 2 
JDExploreAcademy.6 1071 58.5 0.00572151017581399 2 
JDExploreAcademy.6 1072 57 -0.0595479077809095 2 
JDExploreAcademy.6 1073 55.5 -0.101909646460884 2 
JDExploreAcademy.6 1074 53 -0.35195603192871 2 
JDExploreAcademy.6 1075 47.5 -0.618002856926238 2 
JDExploreAcademy.6 1076 48.5 -0.605033483990755 2 
JDExploreAcademy.6 844 68 -0.32922462464223 1 
JDExploreAcademy.6 845 82 0.332656953396918 1 
JDExploreAcademy.6 255 84 0.174645590168382 4 
JDExploreAcademy.6 257 81.25 -0.0800207057105472 4 
JDExploreAcademy.6 260 82 -0.00789986901522997 4 
JDExploreAcademy.6 265 86 0.276532680319762 4 
JDExploreAcademy.6 249 76.5 -0.370580880714488 2 
JDExploreAcademy.6 250 88 0.407750086482862 2 
JDExploreAcademy.6 251 77 -0.361607410933233 2 
JDExploreAcademy.6 252 83.5 0.0630160143461085 2 
JDExploreAcademy.6 253 79.5 -0.184753639974231 2 
JDExploreAcademy.6 254 85.5 0.260226631535579 2 
JDExploreAcademy.6 256 86.5 0.322169045115665 2 
JDExploreAcademy.6 258 88.5 0.460719030281695 2 
JDExploreAcademy.6 259 82 -0.00789986901522902 2 
JDExploreAcademy.6 261 92 0.758175846844226 2 
JDExploreAcademy.6 262 91.5 0.734537219057114 2 
JDExploreAcademy.6 263 82.5 0.00107360076602353 2 
JDExploreAcademy.6 264 83.5 0.0630160143461085 2 
JDExploreAcademy.6 1159 61 -0.299898872744114 2 
JDExploreAcademy.6 1160 92.5 1.0441661068471 2 
JDExploreAcademy.6 1161 86.5 0.787569862529746 2 
JDExploreAcademy.6 1162 66 -0.0931609390058631 2 
JDExploreAcademy.6 1163 76 0.337624875246472 2 
JDExploreAcademy.6 1164 53 -0.645393021484775 2 
JDExploreAcademy.6 1165 54.5 -0.577096785657059 2 
JDExploreAcademy.6 1166 65.5 -0.109435120907497 2 
JDExploreAcademy.6 1167 53 -0.641065534790813 2 
JDExploreAcademy.6 1168 64.5 -0.152080953663335 2 
JDExploreAcademy.6 1169 95.5 1.17354610067927 2 
JDExploreAcademy.6 1170 71.5 0.144276132280549 2 
JDExploreAcademy.6 1171 63.5 -0.196169281983825 2 
JDExploreAcademy.6 1172 78 0.425080284105126 2 
JDExploreAcademy.6 1173 53 -0.642508030355469 2 
JDExploreAcademy.6 1174 62.5 -0.238093866957336 2 
JDExploreAcademy.6 1175 67 -0.045466371773741 2 
JDExploreAcademy.6 1176 62.5 -0.236651371392684 2 
JDExploreAcademy.6 1177 51.5 -0.705034283924574 2 
JDExploreAcademy.6 1178 54.5 -0.577818033439384 2 
JDExploreAcademy.6 1179 62 -0.260138031117582 2 
JDExploreAcademy.6 1180 46 -0.941750107428659 2 
JDExploreAcademy.6 998 91.75 0.75059178797383 4 
JDExploreAcademy.6 1002 79.5 0.186846470218883 4 
JDExploreAcademy.6 1005 72.5 -0.130622790777459 4 
JDExploreAcademy.6 1007 54 -0.926265750683744 4 
JDExploreAcademy.6 1008 86.5 0.507288135219349 4 
JDExploreAcademy.6 1010 93.75 0.84667592693263 4 
JDExploreAcademy.6 1012 80 0.20492269695033 4 
JDExploreAcademy.6 1014 59.25 -0.75925380070186 4 
JDExploreAcademy.6 1018 81 0.247019958421476 4 
JDExploreAcademy.6 1021 84.5 0.443900440305944 4 
JDExploreAcademy.6 999 70.5 -0.21878051905859 2 
JDExploreAcademy.6 1000 65 -0.473103887848209 2 
JDExploreAcademy.6 1001 60.5 -0.63578992843123 2 
JDExploreAcademy.6 1003 36.5 -1.76105715856502 2 
JDExploreAcademy.6 1004 52.5 -1.06174014032422 2 
JDExploreAcademy.6 1006 64.5 -0.483253703901985 2 
JDExploreAcademy.6 1009 95 0.91069171912072 2 
JDExploreAcademy.6 1011 84.5 0.406249989587002 2 
JDExploreAcademy.6 1013 87.5 0.572173827388806 2 
JDExploreAcademy.6 1015 71 -0.204667497665979 2 
JDExploreAcademy.6 1016 74 -0.0526148785501019 2 
JDExploreAcademy.6 1017 94.5 0.874781068364511 2 
JDExploreAcademy.6 1019 96.5 0.974828412662151 2 
JDExploreAcademy.6 1020 93 0.820552388170171 2 
JDExploreAcademy.6 1022 83 0.355984514731498 2 
JDExploreAcademy.6 1023 53.5 -1.0117164681754 2 
JDExploreAcademy.6 886 95.5 0.934712753860421 2 
JDExploreAcademy.6 1138 48 -0.543532880591357 2 
JDExploreAcademy.6 1139 61.5 0.151895087301822 2 
JDExploreAcademy.6 1140 70 0.582450735506614 2 
JDExploreAcademy.6 1141 68.5 0.506999983450752 2 
JDExploreAcademy.6 1142 53 -0.283162640735337 2 
JDExploreAcademy.6 1143 81.5 1.17864196727451 2 
JDExploreAcademy.6 1144 80 1.10155409527961 2 
JDExploreAcademy.6 1145 59 0.0276445271528435 2 
JDExploreAcademy.6 1146 65 0.34131665493435 2 
JDExploreAcademy.6 1147 47 -0.582100689065458 2 
JDExploreAcademy.6 1148 49.5 -0.452120209129826 2 
JDExploreAcademy.6 1149 47.5 -0.551766225239863 2 
JDExploreAcademy.6 1150 66.5 0.403670447477866 2 
JDExploreAcademy.6 1151 78 0.996996719352438 2 
JDExploreAcademy.6 1152 74 0.790746927391427 2 
JDExploreAcademy.6 1153 65.5 0.364693359019005 2 
JDExploreAcademy.6 1154 56.5 -0.0990617129047 2 
JDExploreAcademy.6 1155 49.5 -0.45989652884028 2 
JDExploreAcademy.6 1156 64 0.280647727283169 2 
JDExploreAcademy.6 1157 49 -0.48450107287922 2 
JDExploreAcademy.6 1158 38.5 -1.02166049693498 2 
JDExploreAcademy.6 714 44.5 -1.16193609430212 2 
JDExploreAcademy.6 715 61 -0.380615889610311 2 
JDExploreAcademy.6 1836 100 0.564915978983283 2 
JDExploreAcademy.6 1837 76.5 -0.816525211007794 2 
JDExploreAcademy.6 1829 100 0.564915978983283 1 
JDExploreAcademy.6 1830 100 0.564915978983283 1 
JDExploreAcademy.6 1831 100 0.564915978983283 1 
