74 0.133 1370 1711 Online-W.2 Online-W
75.3 0.055 1385 1806 CUNI-DocTransformer.6 CUNI-DocTransformer
69.8 0.05 1307 1622 Lan-Bridge.1 Lan-Bridge
70.7 0.037 1297 1687 Online-B.0 Online-B
72.5 -0.004 1316 1702 JDExploreAcademy.8 JDExploreAcademy
70.5 -0.014 1377 1603 Online-A.10 Online-A
71.2 -0.015 1293 1673 CUNI-Transformer.7 CUNI-Transformer
71.4 -0.028 1327 1578 Online-G.9 Online-G
71.9 -0.086 1356 1646 SHOPLINE-PL.5 SHOPLINE-PL
67.7 -0.145 1380 1739 Online-Y.4 Online-Y
61.2 -0.29 1285 1600 HUMAN-C HUMAN-C
64 -0.301 1315 1727 ALMAnaCH-Inria.3 ALMAnaCH-Inria
