RAW.SCR Z.SCR N SYS N.ALL 
75.2635379061372 0.0554956368263936 1385 CUNI-DocTransformer.6 1806 
72.483282674772 -0.00390300467990136 1316 JDExploreAcademy.8 1702 
74.0109489051095 0.132514812117851 1370 Online-W.2 1711 
67.6730072463768 -0.145043502752831 1380 Online-Y.4 1739 
69.8454475899005 0.0502339145141674 1307 Lan-Bridge.1 1622 
70.7307247494217 0.0370053062256279 1297 Online-B.0 1687 
61.2313229571984 -0.289892612499823 1285 HUMAN-C 1600 
71.4404672192916 -0.0280414013264356 1327 Online-G.9 1578 
71.8766592920354 -0.0862595358621034 1356 SHOPLINE-PL.5 1646 
70.4863834422658 -0.0142591026562078 1377 Online-A.10 1603 
71.2047563805104 -0.0151965907233696 1293 CUNI-Transformer.7 1673 
63.9572243346008 -0.301020733026248 1315 ALMAnaCH-Inria.3 1727 
