RAW.SCR Z.SCR N SYS N.ALL 
66.5395531400966 -0.0893050836328276 1656 Online-Y.3 2052 
66.230659025788 -0.127474343726919 1745 PROMT.5 2125 
70.8493150684932 -0.0227822173156801 1825 Online-W.2 2292 
68.3092995879929 -0.0855018331510926 1699 HUMAN-B 2127 
67.3394263217098 -0.0700051069850145 1778 Online-A.8 2200 
68.085518102372 -0.0384084043010055 1602 JDExploreAcademy.6 1897 
68.7541689827682 0.0035071592618168 1799 Lan-Bridge.1 2181 
64.753295386459 -0.125523872180892 1669 LT22.4 2075 
64.1161704611792 -0.0572721722176187 1713 Online-G.7 2014 
66.3477881257276 -0.0920614580092633 1718 Online-B.0 2043 
