RAW.SCR Z.SCR N SYS N.ALL 
66.7027340597256 0.0691398159852428 1652 DLUT.6 2029 
62.5039274924471 -0.0560529212926134 1655 KYB.2 2009 
66.1155963302752 0.0463443305632598 1635 Online-W.1 2061 
66.5573012939002 -0.0354895029448319 1623 Online-Y.3 1976 
66.9975073313783 0.0539470151841505 1705 LanguageX.12 2132 
66.4951130116066 -0.0209705915164645 1637 NAIST-NICT-TIT.5 1962 
64.8217550274223 0.00584238156919754 1641 Online-A.13 2038 
63.7997050147493 -0.0181712052543278 1695 AISP-SJTU.0 2067 
66.2632508833922 0.0585292458818361 1698 JDExploreAcademy.8 2040 
67.070796460177 0.00591426397256993 1695 Online-G.10 2095 
68.5067484662577 0.0160605678596277 1630 Lan-Bridge.9 2083 
68.240152851264 0.0488026402953554 1701 Online-B.7 2092 
66.110765401369 0.0683703321927418 1607 NT5.4 1924 
26.2474315068493 -1.28461715042564 1752 AIST.11 2130 
