RAW.SCR Z.SCR N SYS N.ALL 
69.7882165605096 -0.0256965437079918 1570 JDExploreAcademy.6 2134 
73.4095208070618 0.133807529709882 1586 HUMAN-B.12 2098 
65.3138972809668 -0.117259016367407 1655 Lan-Bridge.7 2097 
66.511188947266 -0.122158679448049 1713 Online-Y.3 2393 
69.7437989556136 -0.0830271053025178 1532 Online-A.11 1951 
68.9611037234042 -0.0337409902410532 1504 HuaweiTSC.2 2118 
69.9318373367046 -0.0984776794126261 1582 Online-G.8 1976 
68.6075436408978 -0.0833688527112593 1604 DLUT.4 2139 
69.230734223301 -0.0790143242787095 1648 LanguageX.10 2270 
66.5122763212651 -0.108900932678479 1602 Online-W.1 2271 
66.2937062937063 -0.164209468202473 1573 NiuTrans.9 2339 
69.0795593635251 -0.062624781491458 1634 AISP-SJTU.0 2225 
67.4039888682746 -0.0892047498723933 1617 Online-B.5 2109 
