wid hit.count mean.bad.ref mean.sys.out mean.ref min.hit.time mean.hit.time mean.concurrent max.concurrent max.const.seq.len reject.rate scores.flag time.flag seq.flag reject.flag 
M0375 2 75.3 73.8 74.3 548 3312 1 1 2 0 flag(scrs) - - - 
M0085 1 74.2 71.6 75.7 932 932 1 1 2 0 flag(scrs) - - - 
M0926 1 10.3 77.7 99.1 1422 1422 1 1 4 0 - - - - 
M0132 1 51.8 49.2 56.5 552 552 1 1 0 0 flag(scrs) - - - 
M1070 2 68.3 69.7 65.3 870 941.2 2 2 2 0 - - - - 
M0438 1 70.9 57.4 50.6 1683 1683 1 1 2 0 flag(scrs) - - - 
M0661 3 46.5 73.1 89 1665.5 2422.7 1.7 2 4 0 - - - - 
M1115 4 45.7 51.8 86 1072 1640.1 1.5 2 3 0 - - - - 
M0336 1 8.3 70 84.8 1386 1386 1 1 4 0 - - - - 
M0966 8 54.7 55 58.8 58.8 627.2 2.8 4 3 0 - flag(time) - - 
M0662 1 77.9 76.3 71 2968 2968 1 1 2 0 flag(scrs) - - - 
M0517 1 32 74.9 87.7 3123 3123 1 1 2 0 - - - - 
M1010 1 43 89.3 99 4668 4668 1 1 5 0 - - - - 
M0578 1 60.5 70.9 75 1268 1268 1 1 0 0 - - - - 
M0952 1 89.4 85.5 79.7 602 602 1 1 3 0 flag(scrs) - - - 
M0316 1 98.2 97.7 97.1 648 648 1 1 8 0 flag(scrs) - - - 
M1168 1 80.1 78.2 92.7 3725 3725 1 1 3 0 flag(scrs) - - - 
M0828 1 75.4 85.7 87.4 652 652 1 1 3 0 - - - - 
M1412 1 59.7 48.3 96 1005 1005 1 1 0 0 flag(scrs) - - - 
M0568 1 60.6 49.3 24.8 7094 7094 1 1 3 0 flag(scrs) - - - 
M0524 1 59.8 70.3 99.8 4286 4286 1 1 3 0 - - - - 
M1316 1 73.8 70.1 70.6 1719 1719 1 1 2 0 flag(scrs) - - - 
M0051 1 60 56.8 66.9 484 484 1 1 2 0 flag(scrs) - - - 
M0908 1 55.5 50.4 56.7 271 271 1 1 2 0 flag(scrs) flag(time) - - 
M0377 7 65.3 68.8 98.7 187 486.4 3.6 5 3 0 - flag(time) - - 
M0198 15 89.9 90.5 98.6 99.3 684.5 5.3 7 16 0 - flag(time) flag(seq) - 
M1379 1 56.8 52.6 54.1 2163 2163 1 1 3 0 flag(scrs) - - - 
M1274 4 67.3 67.4 92.5 367.7 940.5 2.2 3 5 0 - - - - 
M0664 1 73.3 75.3 97.2 601 601 1 1 3 0 - - - - 
M0904 1 61.3 66.4 78.8 2856 2856 1 1 2 0 - - - - 
M0091 1 94.9 80.9 93.7 1491 1491 1 1 3 0 flag(scrs) - - - 
M1267 10 65 76.3 85 531 1371 2.8 5 3 0 - - - - 
M0869 1 31.9 67 100 2071 2071 1 1 3 0 - - - - 
M1182 2 85.8 86.4 88 3713 3946.5 1 1 2 0 - - - - 
M1196 18 83.6 82.1 83.2 86 562.4 3.3 6 4 0 flag(scrs) flag(time) - - 
M0226 1 51 81.8 100 2090 2090 1 1 7 0 - - - - 
M0086 1 50.6 57.9 51.8 4370 4370 1 1 3 0 - - - - 
M1318 1 56.6 60.6 65.9 722 722 1 1 2 0 - - - - 
M0270 5 78.6 79.7 97.4 887.2 2114.2 3 4 5 0 - - - - 
M1314 1 59.4 64.4 75.2 1093 1093 1 1 2 0 - - - - 
M0666 1 52.3 60.5 61.8 3160 3160 1 1 2 0 - - - - 
M1016 77 30 31.9 30.9 20 174 26.8 29 98 0 - flag(time) flag(seq) - 
