 Online-W.2 CUNI-DocTransformer.6 Lan-Bridge.1 Online-B.0 JDExploreAcademy.8 Online-A.10 CUNI-Transformer.7 Online-G.9 SHOPLINE-PL.5 Online-Y.4 HUMAN-C ALMAnaCH-Inria.3
Online-W.2 0.12 0.0165819538231206 0.000242040654183865 6.22809962025843e-05 0.000374926514298395 1.36880607873849e-06 2.92698050583854e-06 1.27859252734543e-07 8.43534278538047e-11 1.2892484208873e-18 1.03341462986055e-47 3.81353706516404e-41
CUNI-DocTransformer.6 0.12 0.12 0.12 0.028985378831621 0.12 0.00319827676916211 0.006114653473921 0.000556619301512432 4.77469345109139e-06 2.25810701970444e-12 1.6475311403166e-38 3.56572529587495e-32
Lan-Bridge.1 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0305185606894731 0.00129338172558905 2.04841147121259e-08 8.62443951697727e-31 2.32343216634146e-25
Online-B.0 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00686092838308544 2.8410759745932e-07 5.12271701823402e-27 9.71726218144573e-23
JDExploreAcademy.8 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0019807437960042 1.13295716370592e-07 3.96501637166756e-27 2.22369677662429e-22
Online-A.10 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 2.2518120063411e-05 5.76958515234693e-23 2.43833527740226e-19
CUNI-Transformer.7 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0267103125486602 7.8575669975048e-06 3.51736400927297e-25 3.97043459639537e-20
Online-G.9 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.000277427141419877 3.82988291065014e-20 9.36429688198488e-17
SHOPLINE-PL.5 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00574239031999716 8.96521538710416e-18 4.94550689420118e-14
Online-Y.4 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 2.758951647733e-09 3.3473305548064e-07
HUMAN-C 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12
ALMAnaCH-Inria.3 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12

