 DLUT.6 NT5.4 JDExploreAcademy.8 LanguageX.12 Online-B.7 Online-W.1 Lan-Bridge.9 Online-G.10 Online-A.13 AISP-SJTU.0 NAIST-NICT-TIT.5 Online-Y.3 KYB.2 AIST.11
DLUT.6 0.12 0.12 0.12 0.12 0.12 0.12 0.010622431760165 0.00466754156051911 0.00426824257348721 0.00015478816378459 0.000717593424033324 0.000335260781395552 1.82712697155094e-07 6.56976380215858e-305
NT5.4 0.12 0.12 0.12 0.12 0.12 0.12 0.0367308491938143 0.013909896344707 0.0145415622123342 0.000724440052809524 0.00287104691637366 0.00112231602626633 2.35704174186733e-06 0
JDExploreAcademy.8 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00501276728287125 0.0201467763720278 0.00956090163583809 2.00281928824247e-05 0
LanguageX.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00361249183741931 0.0124614815495305 0.00575717623320213 1.74727669501026e-05 0
Online-B.7 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0466324897355331 0.047305468327393 0.00358946393776391 0.0122828391461954 0.00592617589748847 1.53979712269739e-05 0
Online-W.1 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00455861732341812 0.0123289877602087 0.00572396098214238 4.14540292013755e-05 9.56694138581884e-299
Lan-Bridge.9 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00149254427002806 8.60345838053758e-298
Online-G.10 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00721030052437532 1.4189938243718e-293
Online-A.13 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00662136500576012 7.68691442194432e-296
AISP-SJTU.0 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 8.2726917988969e-291
NAIST-NICT-TIT.5 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0305084797343955 8.31724783487277e-278
Online-Y.3 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 1.47521518315883e-270
KYB.2 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 4.48311795423562e-277
AIST.11 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12

