 JDExploreAcademy.6 HuaweiTSC.3 Online-G.7 Lan-Bridge.0 Online-Y.4 SRPOL.8 Online-B.5 Online-A.9 Online-W.1 ALMAnaCH-Inria.2
JDExploreAcademy.6 0.12 0.12 0.12 0.0241940198675707 0.0151790963088567 0.0351284960594775 0.00369048957387893 0.00112355841688768 0.000135358146123163 5.10863096122135e-28
HuaweiTSC.3 0.12 0.12 0.12 0.0299042789611322 0.0217202952466073 0.0365567209277266 0.00563726954636015 0.0015591771320896 0.000436365785060501 5.26479477895362e-27
Online-G.7 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0164406738173727 8.03147152334562e-21
Lan-Bridge.0 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0497349387959258 2.44743685061514e-19
Online-Y.4 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 1.3478176482839e-18
SRPOL.8 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 5.85450391589621e-19
Online-B.5 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 1.67024340243122e-16
Online-A.9 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 6.56264510032202e-15
Online-W.1 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 1.70212347369006e-12
ALMAnaCH-Inria.2 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12

