 Lan-Bridge.0 Online-B.4 HuaweiTSC.2 Online-A.6 PROMT.5 Online-G.7 Online-Y.3 ARC-NKUA.8 ALMAnaCH-Inria.1
Lan-Bridge.0 0.12 0.12 0.0394058103008826 0.0474071553354715 0.00161655473182074 0.00279227267419265 7.26577558402075e-07 4.91979446304698e-06 1.95465335480087e-24
Online-B.4 0.12 0.12 0.00636760617063212 0.0131131611824234 6.0400010537064e-05 0.00021610017528044 2.39849236968247e-09 1.78578620812908e-07 2.2483916286869e-29
HuaweiTSC.2 0.12 0.12 0.12 0.12 0.12 0.12 0.00398935220145427 0.00442271216763633 4.18215703343677e-16
Online-A.6 0.12 0.12 0.12 0.12 0.12 0.12 0.00139718427694659 0.00416079324905338 1.07137678746615e-16
PROMT.5 0.12 0.12 0.12 0.12 0.12 0.12 0.0186446939646908 0.0377070471011634 8.85534141469908e-15
Online-G.7 0.12 0.12 0.12 0.12 0.12 0.12 0.0121344579975154 0.0248670077703212 2.13501073544848e-15
Online-Y.3 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 1.13508125873271e-08
ARC-NKUA.8 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 1.99937431470027e-08
ALMAnaCH-Inria.1 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12

