 HUMAN-B.12 JDExploreAcademy.6 HuaweiTSC.2 AISP-SJTU.0 LanguageX.10 Online-A.11 DLUT.4 Online-B.5 Online-G.8 Online-W.1 Lan-Bridge.7 Online-Y.3 NiuTrans.9
HUMAN-B.12 0.12 3.45622062255308e-07 2.33742050524252e-07 7.72042448333596e-11 2.74640075582573e-11 9.89123960791631e-12 1.46841358728386e-12 7.69586722334799e-10 3.78991807210798e-14 4.68005085510782e-16 4.8181732129584e-17 2.04147949369613e-20 2.02424464578128e-25
JDExploreAcademy.6 0.12 0.12 0.12 0.12 0.12 0.0379398365460719 0.0171520301302126 0.12 0.00514233858309025 0.000346919172771814 0.000183984367381374 7.0201173635242e-06 6.36458184243298e-09
HuaweiTSC.2 0.12 0.12 0.12 0.12 0.12 0.12 0.0260845712668592 0.12 0.00735578083040779 0.000739114458135193 0.000398989662287294 2.4276943445588e-05 2.56945666732687e-08
AISP-SJTU.0 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0349000154750669 0.0255019080235009 0.00337956502477495 2.11125664737045e-05
LanguageX.10 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0240060583736554 0.0133460558799029 0.00176343851967723 7.89051713076241e-06
Online-A.11 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0488542163995103 0.0372466824147867 0.00647152039865348 3.64154372738632e-05
DLUT.4 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0121292263386587 0.000132764821305258
Online-B.5 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0339751748928808 0.0218915870800586 0.0029042423976833 2.70371190765675e-05
Online-G.8 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0379277709909886 0.000636518315081058
Online-W.1 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0123118644547165
Lan-Bridge.7 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0163878907490754
Online-Y.3 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12
NiuTrans.9 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12

