pair	system	id	is_constrained	metric	score
cs-en	Online-A	898	FALSE	bleu-all	25.027060656002963
cs-en	Online-A	898	FALSE	chrf-all	53.40875357432711
cs-en	Online-A	898	FALSE	bleu-C	25.027060656002963
cs-en	Online-A	898	FALSE	chrf-C	53.40875357432711
cs-en	CUNI-DocTransformer	805	TRUE	bleu-all	24.819180228500525
cs-en	CUNI-DocTransformer	805	TRUE	chrf-all	52.98507406581702
cs-en	CUNI-DocTransformer	805	TRUE	bleu-C	24.819180228500525
cs-en	CUNI-DocTransformer	805	TRUE	chrf-C	52.98507406581702
cs-en	Online-B	917	FALSE	bleu-all	25.491161682120783
cs-en	Online-B	917	FALSE	chrf-all	53.98073216894126
cs-en	Online-B	917	FALSE	bleu-C	25.491161682120783
cs-en	Online-B	917	FALSE	chrf-C	53.98073216894126
cs-en	Online-Y	970	FALSE	bleu-all	23.07590360693888
cs-en	Online-Y	970	FALSE	chrf-all	51.50686439710442
cs-en	Online-Y	970	FALSE	bleu-C	23.07590360693888
cs-en	Online-Y	970	FALSE	chrf-C	51.50686439710442
cs-en	ALMAnaCH-Inria	703	TRUE	bleu-all	19.677450338274898
cs-en	ALMAnaCH-Inria	703	TRUE	chrf-all	48.26042128312338
cs-en	ALMAnaCH-Inria	703	TRUE	bleu-C	19.677450338274898
cs-en	ALMAnaCH-Inria	703	TRUE	chrf-C	48.26042128312338
cs-en	SHOPLINE-PL	819	TRUE	bleu-all	24.632148761734243
cs-en	SHOPLINE-PL	819	TRUE	chrf-all	53.197033518792345
cs-en	SHOPLINE-PL	819	TRUE	bleu-C	24.632148761734243
cs-en	SHOPLINE-PL	819	TRUE	chrf-C	53.197033518792345
cs-en	Lan-Bridge	585	FALSE	bleu-all	25.47160674817688
cs-en	Lan-Bridge	585	FALSE	chrf-all	53.99300752339972
cs-en	Lan-Bridge	585	FALSE	bleu-C	25.47160674817688
cs-en	Lan-Bridge	585	FALSE	chrf-C	53.99300752339972
cs-en	Online-G	862	FALSE	bleu-all	22.965395083217587
cs-en	Online-G	862	FALSE	chrf-all	52.09260211298972
cs-en	Online-G	862	FALSE	bleu-C	22.965395083217587
cs-en	Online-G	862	FALSE	chrf-C	52.09260211298972
cs-en	JDExploreAcademy	505	TRUE	bleu-all	25.095074001007266
cs-en	JDExploreAcademy	505	TRUE	chrf-all	53.66867540991257
cs-en	JDExploreAcademy	505	TRUE	bleu-C	25.095074001007266
cs-en	JDExploreAcademy	505	TRUE	chrf-C	53.66867540991257
cs-en	Online-W	958	FALSE	bleu-all	23.77854376721348
cs-en	Online-W	958	FALSE	chrf-all	52.03674116954091
cs-en	Online-W	958	FALSE	bleu-C	23.77854376721348
cs-en	Online-W	958	FALSE	chrf-C	52.03674116954091
cs-en	CUNI-Transformer	772	TRUE	bleu-all	23.850672728553707
cs-en	CUNI-Transformer	772	TRUE	chrf-all	52.01505741596064
cs-en	CUNI-Transformer	772	TRUE	bleu-C	23.850672728553707
cs-en	CUNI-Transformer	772	TRUE	chrf-C	52.01505741596064
cs-uk	AMU	647	TRUE	bleu-all	34.74180088785437
cs-uk	AMU	647	TRUE	chrf-all	61.53032092968835
cs-uk	AMU	647	TRUE	bleu-A	34.74180088785437
cs-uk	AMU	647	TRUE	chrf-A	61.53032092968835
cs-uk	Online-A	904	FALSE	bleu-all	35.8683527475701
cs-uk	Online-A	904	FALSE	chrf-all	62.225313014577296
cs-uk	Online-A	904	FALSE	bleu-A	35.8683527475701
cs-uk	Online-A	904	FALSE	chrf-A	62.225313014577296
cs-uk	Online-B	924	FALSE	bleu-all	38.32490589913727
cs-uk	Online-B	924	FALSE	chrf-all	64.04844845969626
cs-uk	Online-B	924	FALSE	bleu-A	38.32490589913727
cs-uk	Online-B	924	FALSE	chrf-A	64.04844845969626
cs-uk	Online-Y	976	FALSE	bleu-all	32.094894533882695
cs-uk	Online-Y	976	FALSE	chrf-all	59.599251584431855
cs-uk	Online-Y	976	FALSE	bleu-A	32.094894533882695
cs-uk	Online-Y	976	FALSE	chrf-A	59.599251584431855
cs-uk	Lan-Bridge	552	FALSE	bleu-all	38.250938597909105
cs-uk	Lan-Bridge	552	FALSE	chrf-all	63.96542659667029
cs-uk	Lan-Bridge	552	FALSE	bleu-A	38.250938597909105
cs-uk	Lan-Bridge	552	FALSE	chrf-A	63.96542659667029
cs-uk	Online-G	869	FALSE	bleu-all	32.49460950549214
cs-uk	Online-G	869	FALSE	chrf-all	60.78294018264357
cs-uk	Online-G	869	FALSE	bleu-A	32.49460950549214
cs-uk	Online-G	869	FALSE	chrf-A	60.78294018264357
cs-uk	HuaweiTSC	740	TRUE	bleu-all	35.965882165592475
cs-uk	HuaweiTSC	740	TRUE	chrf-all	62.58838523471768
cs-uk	HuaweiTSC	740	TRUE	bleu-A	35.965882165592475
cs-uk	HuaweiTSC	740	TRUE	chrf-A	62.58838523471768
cs-uk	ALMAnaCH-Inria	683	TRUE	bleu-all	26.84080188789713
cs-uk	ALMAnaCH-Inria	683	TRUE	chrf-all	54.481716610349665
cs-uk	ALMAnaCH-Inria	683	TRUE	bleu-A	26.84080188789713
cs-uk	ALMAnaCH-Inria	683	TRUE	chrf-A	54.481716610349665
cs-uk	CharlesTranslator	513	FALSE	bleu-all	34.312472901274
cs-uk	CharlesTranslator	513	FALSE	chrf-all	61.548126305301366
cs-uk	CharlesTranslator	513	FALSE	bleu-A	34.312472901274
cs-uk	CharlesTranslator	513	FALSE	chrf-A	61.548126305301366
cs-uk	CUNI-Transformer	808	TRUE	bleu-all	35.01151463542339
cs-uk	CUNI-Transformer	808	TRUE	chrf-all	61.551688742172786
cs-uk	CUNI-Transformer	808	TRUE	bleu-A	35.01151463542339
cs-uk	CUNI-Transformer	808	TRUE	chrf-A	61.551688742172786
de-en	PROMT	796	FALSE	bleu-all	49.17553645386581
de-en	PROMT	796	FALSE	chrf-all	65.6377614906388
de-en	PROMT	796	FALSE	bleu-B	36.62617939192695
de-en	PROMT	796	FALSE	chrf-B	62.0828858947719
de-en	PROMT	796	FALSE	bleu-A	32.50679446342163
de-en	PROMT	796	FALSE	chrf-A	57.7759481924252
de-en	Online-A	903	FALSE	bleu-all	50.1526734123992
de-en	Online-A	903	FALSE	chrf-all	66.35259714064726
de-en	Online-A	903	FALSE	bleu-B	37.152226591769576
de-en	Online-A	903	FALSE	chrf-B	62.66620269050569
de-en	Online-A	903	FALSE	bleu-A	33.2853977110808
de-en	Online-A	903	FALSE	chrf-A	58.427911323866624
de-en	Online-B	923	FALSE	bleu-all	49.73764264813526
de-en	Online-B	923	FALSE	chrf-all	65.68792348109912
de-en	Online-B	923	FALSE	bleu-B	36.63816820590153
de-en	Online-B	923	FALSE	chrf-B	61.89915857436793
de-en	Online-B	923	FALSE	bleu-A	33.25109007892432
de-en	Online-B	923	FALSE	chrf-A	58.283238322892736
de-en	Online-Y	975	FALSE	bleu-all	49.345116180520144
de-en	Online-Y	975	FALSE	chrf-all	65.68216928015381
de-en	Online-Y	975	FALSE	bleu-B	36.321325157066205
de-en	Online-Y	975	FALSE	chrf-B	61.94094709662781
de-en	Online-Y	975	FALSE	bleu-A	32.89833802327008
de-en	Online-Y	975	FALSE	chrf-A	58.04086128695525
de-en	Lan-Bridge	587	FALSE	bleu-all	50.13946248617213
de-en	Lan-Bridge	587	FALSE	chrf-all	66.16213852395627
de-en	Lan-Bridge	587	FALSE	bleu-B	36.97055931462179
de-en	Lan-Bridge	587	FALSE	chrf-B	62.34724311450578
de-en	Lan-Bridge	587	FALSE	bleu-A	33.44883601899052
de-en	Lan-Bridge	587	FALSE	chrf-A	58.48292496873929
de-en	Online-G	868	FALSE	bleu-all	49.666500767838684
de-en	Online-G	868	FALSE	chrf-all	66.29269557543948
de-en	Online-G	868	FALSE	bleu-B	36.45942751679833
de-en	Online-G	868	FALSE	chrf-B	62.45850716207381
de-en	Online-G	868	FALSE	bleu-A	33.65251607563512
de-en	Online-G	868	FALSE	chrf-A	58.67361717449294
de-en	LT22	605	TRUE	bleu-all	40.34858130305525
de-en	LT22	605	TRUE	chrf-all	58.39266432838206
de-en	LT22	605	TRUE	bleu-B	30.92594489437471
de-en	LT22	605	TRUE	chrf-B	55.659515742190045
de-en	LT22	605	TRUE	bleu-A	26.00705129445464
de-en	LT22	605	TRUE	chrf-A	51.27034282526635
de-en	JDExploreAcademy	809	TRUE	bleu-all	49.33030802184003
de-en	JDExploreAcademy	809	TRUE	chrf-all	65.79935172905495
de-en	JDExploreAcademy	809	TRUE	bleu-B	35.84183538182682
de-en	JDExploreAcademy	809	TRUE	chrf-B	61.76360784384796
de-en	JDExploreAcademy	809	TRUE	bleu-A	33.6991113934194
de-en	JDExploreAcademy	809	TRUE	chrf-A	58.54727820195846
de-en	Online-W	961	FALSE	bleu-all	48.79924845171131
de-en	Online-W	961	FALSE	chrf-all	65.40604064200296
de-en	Online-W	961	FALSE	bleu-B	35.954890918705544
de-en	Online-W	961	FALSE	chrf-B	61.729768918989706
de-en	Online-W	961	FALSE	bleu-A	32.55800352143171
de-en	Online-W	961	FALSE	chrf-A	57.72636427265462
de-fr	Online-A	906	FALSE	bleu-all	41.32854247947841
de-fr	Online-A	906	FALSE	chrf-all	64.49004894776584
de-fr	Online-A	906	FALSE	bleu-A	41.32854247947841
de-fr	Online-A	906	FALSE	chrf-A	64.49004894776584
de-fr	Online-B	926	FALSE	bleu-all	58.37783086666244
de-fr	Online-B	926	FALSE	chrf-all	74.62336556669948
de-fr	Online-B	926	FALSE	bleu-A	58.37783086666244
de-fr	Online-B	926	FALSE	chrf-A	74.62336556669948
de-fr	Online-Y	978	FALSE	bleu-all	46.16720197541802
de-fr	Online-Y	978	FALSE	chrf-all	66.78300339690864
de-fr	Online-Y	978	FALSE	bleu-A	46.16720197541802
de-fr	Online-Y	978	FALSE	chrf-A	66.78300339690864
de-fr	Online-G	871	FALSE	bleu-all	38.96738507286565
de-fr	Online-G	871	FALSE	chrf-all	62.66155000284276
de-fr	Online-G	871	FALSE	bleu-A	38.96738507286565
de-fr	Online-G	871	FALSE	chrf-A	62.66155000284276
de-fr	LT22	623	TRUE	bleu-all	28.348353005759414
de-fr	LT22	623	TRUE	chrf-all	54.41628687117013
de-fr	LT22	623	TRUE	bleu-A	28.348353005759414
de-fr	LT22	623	TRUE	chrf-A	54.41628687117013
de-fr	Online-W	962	FALSE	bleu-all	43.562844354393
de-fr	Online-W	962	FALSE	chrf-all	65.48910911062498
de-fr	Online-W	962	FALSE	bleu-A	43.562844354393
de-fr	Online-W	962	FALSE	chrf-A	65.48910911062498
en-cs	CUNI-Bergamot	734	TRUE	bleu-all	46.23058119079547
en-cs	CUNI-Bergamot	734	TRUE	chrf-all	65.06876313619574
en-cs	CUNI-Bergamot	734	TRUE	bleu-B	38.62451383961301
en-cs	CUNI-Bergamot	734	TRUE	chrf-B	63.15232583793531
en-cs	CUNI-Bergamot	734	TRUE	bleu-C	24.44893863778511
en-cs	CUNI-Bergamot	734	TRUE	chrf-C	50.339939002314146
en-cs	Online-A	902	FALSE	bleu-all	49.08334015448944
en-cs	Online-A	902	FALSE	chrf-all	67.52357068655402
en-cs	Online-A	902	FALSE	bleu-B	41.839464118762976
en-cs	Online-A	902	FALSE	chrf-B	65.75498336867506
en-cs	Online-A	902	FALSE	bleu-C	24.512809953632665
en-cs	Online-A	902	FALSE	chrf-C	50.84755282785112
en-cs	CUNI-DocTransformer	800	TRUE	bleu-all	47.796441431315756
en-cs	CUNI-DocTransformer	800	TRUE	chrf-all	65.97228055250093
en-cs	CUNI-DocTransformer	800	TRUE	bleu-B	39.79320366573673
en-cs	CUNI-DocTransformer	800	TRUE	chrf-B	63.92186086636835
en-cs	CUNI-DocTransformer	800	TRUE	bleu-C	25.242815595513992
en-cs	CUNI-DocTransformer	800	TRUE	chrf-C	50.820822346240824
en-cs	Online-B	922	FALSE	bleu-all	56.457755054108
en-cs	Online-B	922	FALSE	chrf-all	71.29295575244628
en-cs	Online-B	922	FALSE	bleu-B	48.184630367007905
en-cs	Online-B	922	FALSE	chrf-B	68.975407433104
en-cs	Online-B	922	FALSE	bleu-C	26.994782335997286
en-cs	Online-B	922	FALSE	chrf-C	52.66262309428015
en-cs	Online-Y	974	FALSE	bleu-all	44.69591275697907
en-cs	Online-Y	974	FALSE	chrf-all	64.45198924300904
en-cs	Online-Y	974	FALSE	bleu-B	37.84680748680294
en-cs	Online-Y	974	FALSE	chrf-B	62.85223572846091
en-cs	Online-Y	974	FALSE	bleu-C	22.808896513556682
en-cs	Online-Y	974	FALSE	chrf-C	49.03302662720384
en-cs	Lan-Bridge	551	FALSE	bleu-all	53.360317266381976
en-cs	Lan-Bridge	551	FALSE	chrf-all	70.41024917599785
en-cs	Lan-Bridge	551	FALSE	bleu-B	45.55123652427675
en-cs	Lan-Bridge	551	FALSE	chrf-B	68.1569676214984
en-cs	Lan-Bridge	551	FALSE	bleu-C	25.878855765429627
en-cs	Lan-Bridge	551	FALSE	chrf-C	52.28075414311964
en-cs	Online-G	866	FALSE	bleu-all	44.82846739292232
en-cs	Online-G	866	FALSE	chrf-all	64.60553427966957
en-cs	Online-G	866	FALSE	bleu-B	38.07279894633697
en-cs	Online-G	866	FALSE	chrf-B	62.76433546726364
en-cs	Online-G	866	FALSE	bleu-C	22.700336336236294
en-cs	Online-G	866	FALSE	chrf-C	49.01143581307298
en-cs	JDExploreAcademy	829	TRUE	bleu-all	49.428304167282654
en-cs	JDExploreAcademy	829	TRUE	chrf-all	67.21232925169087
en-cs	JDExploreAcademy	829	TRUE	bleu-B	41.428396732148954
en-cs	JDExploreAcademy	829	TRUE	chrf-B	65.12457434396208
en-cs	JDExploreAcademy	829	TRUE	bleu-C	25.519667129105265
en-cs	JDExploreAcademy	829	TRUE	chrf-C	51.82168889276279
en-cs	Online-W	960	FALSE	bleu-all	53.104664699853636
en-cs	Online-W	960	FALSE	chrf-all	70.4211667622714
en-cs	Online-W	960	FALSE	bleu-B	45.798134150370664
en-cs	Online-W	960	FALSE	chrf-B	68.19676908442585
en-cs	Online-W	960	FALSE	bleu-C	24.996776330689396
en-cs	Online-W	960	FALSE	chrf-C	51.8207331779043
en-cs	CUNI-Transformer	761	TRUE	bleu-all	45.559153188314504
en-cs	CUNI-Transformer	761	TRUE	chrf-all	64.20920597186557
en-cs	CUNI-Transformer	761	TRUE	bleu-B	37.69787285647302
en-cs	CUNI-Transformer	761	TRUE	chrf-B	62.07517672511155
en-cs	CUNI-Transformer	761	TRUE	bleu-C	24.54640302794947
en-cs	CUNI-Transformer	761	TRUE	chrf-C	50.05137205021438
en-de	PROMT	694	FALSE	bleu-all	48.97223002558405
en-de	PROMT	694	FALSE	chrf-all	67.48741892285273
en-de	PROMT	694	FALSE	bleu-B	36.008691975055726
en-de	PROMT	694	FALSE	chrf-B	62.16282169823043
en-de	PROMT	694	FALSE	bleu-A	36.116654522316075
en-de	PROMT	694	FALSE	chrf-A	62.84557521639928
en-de	Online-A	901	FALSE	bleu-all	50.13444254157526
en-de	Online-A	901	FALSE	chrf-all	68.75909604442163
en-de	Online-A	901	FALSE	bleu-B	37.227562714626245
en-de	Online-A	901	FALSE	chrf-B	63.58189084852527
en-de	Online-A	901	FALSE	bleu-A	36.52531053341122
en-de	Online-A	901	FALSE	chrf-A	63.85528694212632
en-de	Online-B	920	FALSE	bleu-all	52.315299704513926
en-de	Online-B	920	FALSE	chrf-all	69.73902591213506
en-de	Online-B	920	FALSE	bleu-B	38.29985899796457
en-de	Online-B	920	FALSE	chrf-B	64.1350187667009
en-de	Online-B	920	FALSE	bleu-A	38.36852355513645
en-de	Online-B	920	FALSE	chrf-A	64.64010318069295
en-de	Online-Y	973	FALSE	bleu-all	50.510639068672376
en-de	Online-Y	973	FALSE	chrf-all	68.66073193031916
en-de	Online-Y	973	FALSE	bleu-B	37.176064594088494
en-de	Online-Y	973	FALSE	chrf-B	63.457200160780324
en-de	Online-Y	973	FALSE	bleu-A	36.98159020222119
en-de	Online-Y	973	FALSE	chrf-A	63.74646693226707
en-de	OpenNMT	207	FALSE	bleu-all	48.39941920323298
en-de	OpenNMT	207	FALSE	chrf-all	66.6827090094498
en-de	OpenNMT	207	FALSE	bleu-B	35.701541442175646
en-de	OpenNMT	207	FALSE	chrf-B	61.473261744605146
en-de	OpenNMT	207	FALSE	bleu-A	35.685103722891746
en-de	OpenNMT	207	FALSE	chrf-A	62.13486259873768
en-de	Lan-Bridge	549	FALSE	bleu-all	49.36538541585001
en-de	Lan-Bridge	549	FALSE	chrf-all	69.05064000009644
en-de	Lan-Bridge	549	FALSE	bleu-B	36.46587677127627
en-de	Lan-Bridge	549	FALSE	chrf-B	63.66686038565125
en-de	Lan-Bridge	549	FALSE	bleu-A	36.134392152672305
en-de	Lan-Bridge	549	FALSE	chrf-A	64.11493237699322
en-de	Online-G	865	FALSE	bleu-all	49.63768530570437
en-de	Online-G	865	FALSE	chrf-all	68.38439665836414
en-de	Online-G	865	FALSE	bleu-B	36.584283625472715
en-de	Online-G	865	FALSE	chrf-B	63.105396201590615
en-de	Online-G	865	FALSE	bleu-A	36.36749063013553
en-de	Online-G	865	FALSE	chrf-A	63.44155581688554
en-de	JDExploreAcademy	843	TRUE	bleu-all	51.61519048760195
en-de	JDExploreAcademy	843	TRUE	chrf-all	69.16373759705678
en-de	JDExploreAcademy	843	TRUE	bleu-B	38.1647303140197
en-de	JDExploreAcademy	843	TRUE	chrf-B	63.76862835250313
en-de	JDExploreAcademy	843	TRUE	bleu-A	37.79203841537659
en-de	JDExploreAcademy	843	TRUE	chrf-A	64.32161161984445
en-de	Online-W	959	FALSE	bleu-all	48.86212004452117
en-de	Online-W	959	FALSE	chrf-all	68.66382659444199
